FLH_PV,FLH_Wind
1921.364,5408.927
1937.627,5132.094999999999
1937.7310000000002,4889.299999999999
1942.861,5123.284
1935.8090000000002,5141.773
1942.8310000000001,4772.545
1944.2690000000002,4412.317999999999
1959.995,2757.321
1983.132,2688.021
1977.341,2382.022
1942.613,1764.4460000000001
1899.6779999999999,2112.0389999999998
1898.542,1787.554
1929.879,2210.6639999999998
1845.92,2411.672
1831.522,2545.61
1813.321,2252.436
1769.145,2666.26
1779.347,2629.8940000000002
1803.7910000000002,2374.105
1799.564,4223.530000000001
1816.5900000000001,3195.028
1849.3049999999998,3076.0950000000003
1830.3720000000003,2622.943
1841.902,2669.9300000000003
1977.0490000000002,4102.262000000001
2017.586,2290.704
1962.659,3527.84
2015.393,2863.118
1969.8540000000003,3547.261
1955.416,4290.724
1941.904,5072.341
1926.154,5442.992
1916.865,5286.046
1924.734,5640.928000000001
1923.587,5766.725
1929.3690000000001,5733.241
1926.446,5860.436
1895.5949999999998,5574.613
1888.772,5739.48
2025.686,2606.9480000000003
1970.931,2998.465
1970.698,3274.9390000000003
1886.879,2634.209
1868.763,2656.54
1782.2040000000002,2388.011
1886.643,2210.4359999999997
1970.078,3303.527
1968.2069999999999,3674.192
1950.3290000000002,4378.164000000001
