H2_Price_2025 [EUR/MWh_h2],H2_Price_2050 [EUR/MWh_h2]
141.26927075787498,37.35549301429026
141.05755511475934,37.231718127907655
140.77499491197935,37.08317945460258
140.47366005948177,36.92274904747093
140.2778407825399,36.7815588485634
140.14651871330324,36.67670209083384
140.31278712989985,36.84851213348448
140.067522200429,36.73228626592326
139.82961376206606,36.59015740853877
139.5235649202179,36.44795299270599
139.33553880043576,36.31847735591671
139.1971220290802,36.1962656510216
139.04283733863846,36.08819558712322
138.89979869027837,36.00295727161053
138.75411001250814,35.9055159838344
139.19422105731252,36.32099689999328
139.01190895317174,36.21602154228791
138.81693263469742,36.1061144629196
138.63206442234426,36.00527371839863
138.47733547178746,35.91140129781788
138.34593848700723,35.824841746821114
138.30448348997672,35.723829711710685
138.25803058098822,35.658107732662764
138.97307301725752,36.20937940152235
138.78440080456727,36.099493448938254
138.58789776811912,35.98740185539152
138.40207417120772,35.88465015228512
138.22724526768167,35.79128657427136
138.06233209042244,35.70818328857113
137.9070351142175,35.632980095433055
137.82830418665878,35.56148236220439
137.7407982227633,35.48095811947507
137.7399586333587,35.42212274840074
138.75355900785607,36.1020723304723
138.55864448776194,35.98690280415808
138.3600465644317,35.87257398940423
138.17373045329387,35.76827380898197
137.9998215403941,35.67539571708943
137.83673467419558,35.59296009210345
137.6841286188681,35.51823699709846
137.53941289972147,35.45171874868138
137.4022776335101,35.39256564992147
137.32336981701332,35.333615287573934
137.39736074633865,35.27468968390529
138.53688130537233,35.999429103690105
138.33445790853182,35.878473520169834
138.13399995518697,35.76152165760327
137.94743665596425,35.656564190995944
137.7761670618214,35.564552120223695
137.61562886865636,35.48341273837178
137.46487006845038,35.4106596112835
137.3238081011159,35.34677016948349
137.19174975591417,35.288342653463495
137.0663425236156,35.235634654641274
137.10741085551214,35.19242956251459
138.32320965224412,35.90229269407855
138.1125564891818,35.77443797009809
137.90919249481885,35.65463715150178
137.7257907811243,35.549647474127504
137.55722863336797,35.45938230461107
137.40069750184966,35.380439667037216
137.2546608794524,35.31128179553039
137.11564493841286,35.250034854517416
136.98372547591353,35.19322244743608
136.84985837761604,35.13245431957848
136.88291155067205,35.08091615124307
138.13983717108704,35.848573218166685
138.11525234684706,35.81218015332252
137.89295253065464,35.67526531212915
137.6864791354852,35.552286385371204
137.50388746795795,35.447893954940184
137.33910006904316,35.360739707359244
137.18761721780515,35.285950003212726
137.0477725018654,35.221180898290086
136.91600409132548,35.16212824325457
136.77772758664844,35.09788357884896
136.64426925863935,35.039552874856184
136.54564226539233,34.98580923330601
136.4851198297452,34.909956194137955
136.43720148055826,34.82768471120683
136.37368178476103,34.768584534828705
138.01153087432164,35.79964210413904
137.91083790695262,35.72843813471983
137.67665019402665,35.58141900034741
137.4675726330455,35.4545675975128
137.2861628861436,35.35198465491657
137.12570444843448,35.27001463887379
136.98256611501796,35.20135681110241
136.84928895218647,35.14102709020784
136.7093692191646,35.07380558613518
136.57709356609865,35.0136494613709
136.45084605049752,34.95880784839609
136.30787423879377,34.890493927290656
136.17184316130275,34.82911994912192
136.02007083587242,34.752863410845386
136.03189754585415,34.67417941795708
135.93266533973042,34.56836964360215
135.81613672085385,34.491475092308065
137.82284970708724,35.7244605025248
137.71162352533403,35.65354689498972
137.4681935765081,35.49459571768352
137.2499323012045,35.36158996027822
137.0711504795289,35.263488589706654
136.92279260527008,35.19006809108382
136.78897720412135,35.12976800175181
136.64447371191474,35.05956102527848
136.51131672413584,34.998507481660745
136.38468850263877,34.94336706002898
136.23865892048312,34.87023294187591
136.10101581289464,34.80547982532119
135.9543951135737,34.73242753297454
135.8012575835326,34.651662391200325
135.64954254340037,34.57492560257056
135.49278358228423,34.493398074307535
135.42060194526692,34.417507840483346
135.32672908521022,34.33273324764112
135.2601651112056,34.213849060614784
137.61901976207997,35.64255100609137
137.5121151916684,35.5793849372154
137.26658511006306,35.42006610223224
137.03292496036025,35.2734558723788
136.86772309101093,35.18641068782277
136.7350489726795,35.1284003483461
136.5853185108717,35.05386324523288
136.45137964683974,34.99304984209371
136.32497407491212,34.93911084295686
136.17321012014384,34.860996507373855
136.03253599201025,34.79302497432563
135.8932741051666,34.72679486473818
135.73198481446377,34.639770172365225
135.58247360431224,34.56113291044174
135.4239999637264,34.476654580124205
135.27257847923389,34.39542029051417
135.12650528557006,34.32172188611633
134.99243896288442,34.25517533718289
134.8727175264963,34.12622666008514
134.85558441624497,33.980094829221784
134.4367794080523,33.711775089210185
137.41636164398136,35.56437849811821
137.30123013996837,35.49716844750043
137.09902224469175,35.38000006235988
