,water_availability_sw[MCM]
0,0.021137725495685145
1,0.02286874156095288
2,0.035136224564981444
3,0.04926214714999927
4,0.02865679278355741
5,0.005761324680112093
6,0.013280661933060038
7,0.057644022819748585
8,0.08456763981743282
9,0.10321034808367247
10,0.08407090407817944
11,0.048098867638889056
12,0.028261563912760156
13,0.020241441444423622
14,2.1597206054494513e-06
15,0.10449349208838514
16,0.11699206519719679
17,0.12436724109973099
18,0.14237013213660626
19,0.13142196845743162
20,0.1126939512272767
21,0.04285155646287393
22,0.002860010011766436
23,0.08401205169168094
24,0.11357025786293781
25,0.11002183690818436
26,0.12144081967934697
27,0.12086417427769197
28,0.13521605763105496
29,0.12701262887633089
30,0.10703791292668026
31,0.06936752619627957
32,0.010475724796732564
33,0.0994988682232076
34,0.10851003248436975
35,0.11372170827039495
36,0.12286785506939771
37,0.11366339581404782
38,0.12544440175169888
39,0.10693775588360255
40,0.12708416962138638
41,0.1286550963967752
42,0.11453268335774122
43,0.021672256345533884
44,0.09841792806018015
45,0.1209600118795588
46,0.10723552736207889
47,0.1185038696210114
48,0.11459720501082903
49,0.12077238615196036
50,0.1150712636837252
51,0.11747854226357428
52,0.1475008183999271
53,0.16071371909899118
54,0.0790490137403581
55,0.11353489243802359
56,0.11772556030782257
57,0.12434051455723855
58,0.13389187893483875
59,0.12299149907405968
60,0.12144189953964969
61,0.13253854401044898
62,0.12756686717670435
63,0.13673677090236705
64,0.1264127664781673
65,0.07273615041062935
66,1.5139601885152148e-06
67,0.10483553783927319
68,0.11601020221694433
69,0.11847552328806489
70,0.10577393644234098
71,0.11207033190245318
72,0.1266398071068152
73,0.12560449104157784
74,0.13155290151913698
75,0.11856380186781262
76,0.1340363102503282
77,0.12859273446429284
78,0.0832350922038705
79,0.025068416997603146
80,0.0013789816065794746
81,0.001961026309748102
82,0.0933960377223588
83,0.09339279814145063
84,0.09707080233253106
85,0.12049135250817626
86,0.14233152713078384
87,0.11019461455662032
88,0.12229147963281839
89,0.10735836147151384
90,0.12443797194955945
91,0.1228764939518195
92,0.13306011653666502
93,0.13359302759605968
94,0.12226232340464481
95,0.06482158428688416
96,0.016967574971637932
97,0.0003193686845308376
98,0.004514625960616398
99,0.09926372864228927
100,0.15625956531532736
101,0.13422177625732115
102,0.15124847358053325
103,0.08643579814114659
104,0.09262879697727289
105,0.11801955227523936
106,0.10410555227463128
107,0.11218614691992039
108,0.09565375565028053
109,0.10030444400904025
110,0.11179064808404747
111,0.10666266147148341
112,0.12737897148403024
113,0.13613663853912777
114,0.10466411001621563
115,0.06957026996811613
116,0.018804687311648374
117,0.008609726193624238
118,0.09922026426510462
119,0.13401390314904663
120,0.13805312061138847
121,0.0933474440087362
122,0.11578316158829646
123,0.10746445774625654
124,0.09990435576688073
125,0.1273209289927588
126,0.1001373356271936
127,0.0899904282926407
128,0.10742693260073685
129,0.1358650536729925
130,0.10298870675653823
131,0.13781366158925926
132,0.11191699173946625
133,0.11541708894567276
134,0.15517781525707286
135,0.10455369430026204
136,6.0472176952584645e-05
137,0.016915471712031466
138,0.03508439127045066
139,0.13789870058809883
140,0.1486281925559717
141,0.17844502526973116
142,0.07709392666227498
143,0.0934878258480904
144,0.1299946631023052
145,0.09562486938718265
146,0.13716412561717034
147,0.12771264831757217
148,0.09792767148274312
149,0.11654554296202012
150,0.11671049162326132
151,0.12841617730479735
152,0.1444566922065461
153,0.1724264238724949
154,0.12113359942322179
155,0.13001032107669472
156,0.12231874610546219
157,0.10150551863074582
158,0.10733595437023229
159,0.06423656996788303
160,0.007432408498578606
161,0.019318970780821024
