FLH_pv,FLH_el
1863.16,5069.720660981518
1853.2,5063.192108878662
1864.5526315789473,4834.367441240291
1858.8653846153845,4541.363907198451
1850.5,4458.019342438754
1849.0833333333333,4358.387275244197
1911.4615384615386,4211.346272892988
1896.8947368421052,4149.896695717209
1883.2261904761904,3984.9728144355176
1870.4096385542168,3807.1213131258555
1870.7397260273972,3726.3946649995924
1862.7692307692307,3816.3070525101793
1853.7692307692307,3600.17588831982
1828.3,3945.3281723814725
1830.0,4380.196597305738
1896.2105263157894,4021.808478338382
1896.2727272727273,3851.677380787354
1899.5416666666667,3940.1969315721362
1900.9204545454545,3693.377482447744
1890.1698113207547,3537.6375582556357
1879.295918367347,3663.71151629003
1870.6122448979593,3797.688913953374
1858.6666666666667,4105.963851447654
1881.7833333333333,4600.566800404282
1884.358208955224,4318.760586977878
1886.74,4034.9178570318327
1891.2096774193549,4007.8050822383084
1898.5166666666667,3752.6261441691604
1905.9411764705883,3695.5685391185107
1908.1964285714287,3403.310262406012
1898.4716981132076,3388.436801266478
1893.4788732394366,3721.14208096487
1869.642857142857,4511.279009896942
1869.7368421052631,4796.852946180385
1872.6031746031747,4780.3478636241925
1877.9285714285713,4652.95326129286
1883.46875,4354.35382967777
1889.3023255813953,4216.974801925215
1900.416,4227.6754195311805
1910.787610619469,4022.6719660169038
1921.515625,3732.500266854302
1924.6346153846155,3742.187284289743
1909.0642201834862,4294.410649646015
1884.1153846153845,4843.311117188452
1859.9302325581396,4966.512555917987
1863.1311475409836,4808.813917673106
1867.9666666666667,4753.820235781139
1872.909090909091,4569.2562758467975
1880.4594594594594,4448.924076274765
1890.235294117647,4317.486232133029
1903.2745098039215,4265.875807287404
1914.4529914529915,4101.406548161816
1923.2833333333333,4088.196412343561
1927.064935064935,4446.125524038303
1894.8823529411766,4996.062059814256
1855.7619047619048,5067.6439298801415
1859.7105263157894,4954.533603663993
1863.1470588235295,4866.985226230958
1867.107142857143,4568.724603329581
1872.0925925925926,4407.358097529737
1883.7283950617284,4291.4096294896735
1895.142857142857,4026.3976488875633
1903.709090909091,3856.054615664354
1911.8524590163934,3899.9706348876352
1918.7,4127.2755872333655
1895.6538461538462,4432.914260529884
1849.125,5375.959500798723
1850.9166666666667,5268.205817809823
1856.6666666666667,5113.354719934083
1860.3157894736842,4980.88353817453
1864.3636363636363,4817.35634559163
1867.3157894736842,4627.249489935435
1876.0675675675675,4247.8522146621835
1885.2857142857142,3983.601759593672
1892.9777777777779,4020.283375308063
1904.8648648648648,3835.5127413866285
1915.1904761904761,3630.9518969774945
1910.7625,3487.8836738637765
1895.780487804878,3831.8561117628124
1873.55,4080.7911586221308
1866.6666666666667,4463.103062028502
1848.5,5403.580112542055
1850.5555555555557,5338.022735109611
1854.7142857142858,5169.876783943531
1858.875,5052.798313664476
1861.3333333333333,4926.812586342159
1863.3142857142857,4956.983209793369
1871.4615384615386,4560.161037895625
1878.1521739130435,4265.664153312304
1885.3048780487804,4185.085314822441
1896.86301369863,3972.4745251599525
1909.1625,3947.1232955526793
1918.58,3614.6651789784664
1921.575,3684.789849466586
1907.6764705882354,3717.5071053682186
1890.1785714285713,3803.6181594670343
1853.1363636363637,3795.406265507394
1851.2,4083.7962397152733
1847.0,5480.565084789036
1849.4615384615386,5397.599745820247
1853.909090909091,5388.336220993748
1856.2142857142858,5356.100706041005
1857.3333333333333,5455.107162870321
1863.5945945945946,5289.5683751787
1868.875,4741.496515055274
1874.7222222222222,4544.851721253508
1879.12,4404.060205876129
1889.012048192771,4332.083892536582
1898.8636363636363,4201.816230590717
1906.7777777777778,3951.239045565395
1910.8970588235295,3778.4580005436146
1915.5151515151515,3711.3876514656004
1915.337837837838,3519.5114881191985
1903.5974025974026,3606.3036067260546
1898.5595238095239,3781.8702914768073
1891.2222222222222,3873.8485472595203
1887.8095238095239,4969.682977678982
1845.6666666666667,5620.709596594941
1847.0,5542.7455828376405
1849.52,5543.298804826016
1852.764705882353,5679.624834844173
1855.1052631578948,5674.660193645395
1861.88,5219.1967070795945
1865.6666666666667,4958.844878823351
1868.3529411764705,4879.260584395524
1873.923076923077,4823.060169058706
1880.0,4638.6993853607855
1887.7391304347825,4308.985334192403
1891.9753086419753,3993.2915049773
1896.076923076923,4082.1101195845113
1902.5714285714287,3831.803849310236
1906.25,3652.1947523636336
