index_source_cell,FLH_electrolyzer,Water_cost [EUR/MWh_h2],Electrolyzer_cost [EUR/MWh_h2],RE_cost [EUR/MWh_h2],Distribution_cost [EUR/MWh_h2],Pipeline_cost [EUR/MWh_h2],H2_Price_2025 [EUR/MWh_h2]
161,6600.810126582278,0.3468080536504243,52.138321045281614,44.77950677071378,9.650638401226425,17.1379232912703,124.05319756214256
161,6600.810126582278,0.34326777352829124,52.138321045281614,44.77950677071378,9.621556440715233,17.014664890738366,123.8973169209773
161,6600.810126582278,0.3181782743034233,52.138321045281614,44.77950677071378,9.579500361036239,16.866408943717733,123.6819153950528
141,6600.810126582278,0.2892878879355792,52.138321045281614,44.77950677071378,9.532063923402902,16.711550477046675,123.45073010438055
141,6600.810126582278,0.3314300308865981,52.138321045281614,44.77950677071378,9.494133332328598,16.573882200742123,123.31727337995274
141,6600.810126582278,0.37825592247705214,52.138321045281614,44.77950677071378,9.469702196193364,16.468088856689473,123.23387479135528
141,6600.810126582278,0.2728575889788637,52.138321045281614,44.77950677071378,9.498635681741597,16.641793585409317,123.33111467212517
141,6600.810126582278,0.21949813337373197,52.138321045281614,44.77950677071378,9.466313320453805,16.529008572172916,123.13264784199588
141,6600.810126582278,0.21708097062236492,52.138321045281614,44.77950677071378,9.431404190896945,16.38726801370082,122.95358099121555
141,6600.810126582278,0.15833329758808112,52.138321045281614,44.77950677071378,9.397468144977752,16.24042260559097,122.7140518641522
141,6600.810126582278,0.19831023840658996,52.138321045281614,44.77950677071378,9.375042926156866,16.098936679189592,122.59011765974846
141,6600.810126582278,0.27963975870315433,52.138321045281614,44.77950677071378,9.360675690907028,15.957587563900967,122.51573082950655
141,6600.810126582278,0.32477221782436705,52.138321045281614,44.77950677071378,9.35849612780015,15.821841695575298,122.42293785719521
141,6600.810126582278,0.3443020151585568,52.138321045281614,44.77950677071378,9.366752251631548,15.704274197725283,122.3331562805108
141,6600.810126582278,0.39001046475941814,52.138321045281614,44.77950677071378,9.378242728258012,15.56463978791519,122.25072079692801
141,6600.810126582278,0.07682126823169746,52.138321045281614,44.77950677071378,9.319829110770481,16.12718279164715,122.44166098664472
141,6600.810126582278,0.07313086192819265,52.138321045281614,44.77950677071378,9.308749849228404,16.010200728214762,122.30990925536673
141,6600.810126582278,0.07168062940564798,52.138321045281614,44.77950677071378,9.304287074484064,15.879182393533041,122.17297791341814
141,6600.810126582278,0.06982864776924849,52.138321045281614,44.77950677071378,9.308749849228404,15.748831584298381,122.04523789729141
141,6600.810126582278,0.09090443622466544,52.138321045281614,44.77950677071378,9.321148993320486,15.619303029456002,121.94918427499655
141,6600.810126582278,0.13132592457236483,52.138321045281614,44.77950677071378,9.340020980972785,15.488063124095493,121.87723784563605
141,6600.810126582278,0.2922466226867935,52.138321045281614,44.77950677071378,9.346450456137298,15.344356036294268,121.90088093111375
141,6600.810126582278,0.38330061550259814,52.138321045281614,44.77950677071378,9.362401038917508,15.238741179256712,121.9022706496722
141,6600.810126582278,0.08000283571983055,52.138321045281614,44.77950677071378,9.241534858696296,16.028747186123976,122.26811269653548
141,6600.810126582278,0.07404918173294993,52.138321045281614,44.77950677071378,9.228726507546236,15.90863327673464,122.12923678200923
141,6600.810126582278,0.07512470767873171,52.138321045281614,44.77950677071378,9.223709957690264,15.77677149682374,121.99343397818812
141,6600.810126582278,0.07310644835739379,52.138321045281614,44.77950677071378,9.228726507546236,15.645567476013596,121.86522824791264
141,6600.810126582278,0.07317654589098187,52.138321045281614,44.77950677071378,9.243548950437,15.515037901472954,121.74959121379635
141,6600.810126582278,0.07062665890470796,52.138321045281614,44.77950677071378,9.26754421101298,15.385199939420138,121.64119862533323
141,6600.810126582278,0.0713612010461811,52.138321045281614,44.77950677071378,9.29979666566737,15.256071247928404,121.54505693063734
141,6600.810126582278,0.14269087542828063,52.138321045281614,44.77950677071378,9.335679631530123,15.126975038765373,121.52317336171917
141,6600.810126582278,0.23247999089768043,52.138321045281614,44.77950677071378,9.366653687990418,14.983636868815115,121.50059836369863
141,6600.810126582278,0.3659149662974534,52.138321045281614,44.77950677071378,9.39503705849522,14.871689936867044,121.55046977765511
141,6600.810126582278,0.07741651667630192,52.138321045281614,44.77950677071378,9.163848351932208,15.93141418273133,122.09050686733524
141,6600.810126582278,0.07496566482361172,52.138321045281614,44.77950677071378,9.14885928027343,15.808164180690694,121.94981694178313
141,6600.810126582278,0.07447077028218964,52.138321045281614,44.77950677071378,9.143132840896465,15.675457278594251,121.8108887057683
141,6600.810126582278,0.07285422558627949,52.138321045281614,44.77950677071378,9.14885928027343,15.543398073669026,121.68293939552413
141,6600.810126582278,0.07448107677453937,52.138321045281614,44.77950677071378,9.165703288160119,15.412003215487136,121.5700153964172
141,6600.810126582278,0.07239883131319688,52.138321045281614,44.77950677071378,9.192750062366141,15.281289841043426,121.46426655071816
141,6600.810126582278,0.07566980660745089,52.138321045281614,44.77950677071378,9.228726507546236,15.151275588276759,121.37349971842585
141,6600.810126582278,0.07201582666975616,52.138321045281614,44.77950677071378,9.272243591080615,15.021978609756736,121.28406584350252
141,6600.810126582278,0.0713064163857699,52.138321045281614,44.77950677071378,9.321977333860785,14.893417586511493,121.20452915275344
141,6600.810126582278,0.12871644675742072,52.138321045281614,44.77950677071378,9.371671345122156,14.764308311798937,121.18252391967391
141,6600.810126582278,0.3408068892141316,52.138321045281614,44.77950677071378,9.400969136344816,14.649099578802328,121.3087034203567
141,6600.810126582278,0.07749719033293063,52.138321045281614,44.77950677071378,9.08706303902636,15.83522938708271,121.9176174324374
