motorway,trunk,primary,secondary,tertiary,track,track_grade1,track_grade2,track_grade3,track_grade4,unclassified,railway
0.0,0.0,0.0,0.0,0.0,569.2341843556165,0.0,5943.863019583116,0.0,467.13076072663205,3490.56096156385,749.5341085930079
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3998.3780570124286,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7091.396576642887,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3934.0691729869754,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8057.377836463653,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12582.30076329534,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5897.934464256521,0.0,0.0
0.0,0.0,8206.329813745297,0.0,0.0,20506.362189880972,0.0,2564.88453633071,9402.065513345953,10242.45869487547,500.38894808869054,0.0
0.0,0.0,6682.521914806478,0.0,0.0,0.0,0.0,656.4461024931284,781.6516351564885,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,14440.529182303468,0.0,0.0,0.0,478.08273283793915,7873.409943054097,0.0
0.0,0.0,3764.8217275874563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,10360.224210728804,0.0,0.0,0.0,0.0,0.0,8961.241822753986,0.0,0.0,0.0
0.0,0.0,10116.839510325397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,10261.248294981342,0.0,0.0,0.0,0.0,0.0,829.4476691348048,0.0,0.0,0.0
0.0,0.0,8606.027276777759,0.0,0.0,0.0,0.0,0.0,10067.424222131249,0.0,0.0,0.0
