MCA_Morocco_2025,MCA_Morocco_2050
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
58.411430475126124,58.411430475126124
58.475346085875074,58.47534608587508
58.1145048242641,58.1145048242641
57.87774997938652,57.87774997938652
57.72262945205081,57.72262945205081
53.204323246645444,53.204323246645444
24.59420578123315,24.497947766895646
24.682622995430037,24.573516919663362
24.733607296100637,24.61830620197881
24.822144515064767,24.691721308346157
58.68606551108741,58.68606551108741
58.53752530031733,58.53752530031733
58.181711496331104,58.181711496331104
57.70930389282459,57.70930389282459
24.31833243624138,24.238893385996775
24.451969719474707,24.345737901830642
24.557338189637836,24.454086983336065
24.58798162388219,24.475138672407233
24.691719399043233,24.579360819587993
24.76209258785467,24.63767867819713
24.917874925698644,24.80035175225978
58.74694486053247,58.74694486053247
58.51838948288257,58.51838948288257
57.685336192073215,57.685336192073215
24.210809352848898,24.117979208902568
24.239565997433775,24.13758468032227
24.30347797314726,24.197118939818242
24.44403931998105,24.329997683816856
24.502847192258585,24.396537140369762
24.539201805588906,24.422995915419015
24.635596974936803,24.534936342583173
24.812499959035428,24.694916692625952
24.872684867200046,24.797595521610713
58.29548848922014,58.29548848922014
57.74924506999853,57.74924506999853
24.10439844331224,24.01209403587791
24.214428727235546,24.10198964587628
24.232026974047702,24.131116218876777
24.327764307285953,24.217598718892862
24.40872728002946,24.30490763329339
24.502095642713034,24.39276835786039
24.56252890343583,24.455316427528626
24.628958334704233,24.519443626737406
24.767114262412765,24.632381369254688
24.55980925946107,24.413977761546
57.91626845340241,57.91626845340241
24.061567122749835,23.956134794953666
24.136600562464157,24.02687836367428
24.20947138683024,24.09419274253517
24.37202360665061,24.255875862048377
24.394555010687977,24.291244412163188
24.456160145228875,24.354151183124106
24.61247025127312,24.500120548695623
24.726961367349755,24.613261217334237
24.746335443839932,24.62069162411824
24.727163688703577,24.610144389154136
58.23603528558577,58.23603528558577
8.380002178697994,8.379999999971632
23.933578883411123,23.83493958812811
24.06935988660566,23.96107855851488
24.126944989747617,24.016592835212997
24.19998044391552,24.106827042086596
24.272893745284588,24.1787567355639
24.462737730962974,24.356362617702963
24.594998920692973,24.489493454762368
24.591612617825252,24.481110591462805
24.672994828441173,24.5698879627771
24.786192625623837,24.663251061876263
58.7444815511107,58.74448155111071
58.470672544924156,58.470672544924156
